text_id,post,用户昵称,用户id,转发数量,评论数量,点赞数量,原始发布时间,发布时间,post_tokens
5102811693714473,#卫生巾 C类#维护女性权益 从我做起 从点滴小事做起 ,闪光小卡,3191262460,0,0,1,Wed Nov 20 15:42:56 +0800 2024,2024/11/20,维护 女性 权益 从我做起 点滴 小事 做起
5102810645137610,#卫生巾 C类#嘻嘻 本来就姨妈不调，现在好噜，期待它干脆别来了 ,嵩山在逃住持,5318261850,0,0,1,Wed Nov 20 15:38:46 +0800 2024,2024/11/20,嘻嘻 本来 姨妈 调 好噜 期待 干脆 别来
5102808410359857,#女子推理社谈不合格卫生巾# 芒果这个钱该你挣！以前不懂专业课老师说的中国官方发言看央视，行业走向看湖南卫视。这几年的名侦，密室，女推女子推理社；立意各种校园霸凌，青少年问题，女性问题，女性安全问题#卫生巾 C类# #abc卫生巾所属公司6年上市未果# #卫生巾长度虚标abc客服称可以不买# 白枫树暴风生白番薯的微博视频,白枫树暴风生白番薯,5569020387,0,0,3,Wed Nov 20 15:29:53 +0800 2024,2024/11/20,女子 推理 社谈 合格 芒果 钱该 挣 懂 专业课 老师 说 中国 官方 发言 央视 行业 走向 湖南卫视 几年 名 侦 密室 女 推 女子 推理 社 立意 校园 霸凌 青少年 女性 女性 abc 所属 公司 年 上市 未果 长度 虚标 abc 客服 称 不买 白 枫树 暴风 生白 番薯 微博 视频
5102806757020467,#卫生巾 C类# 哪些牌子是a类和b类？ 以前用医用的千金净雅感觉有点贵现在用苏菲。。 ,Mokona月,2707881387,0,2,0,Wed Nov 20 15:23:19 +0800 2024,2024/11/20,牌子 a b 医用 千金 净雅 感觉 贵 苏菲
5102803294881711,#卫生巾 C类#除了这个规定，还有卫生巾的税收很高，制定这些规定的畜牲们一定会下地狱的。 ,宸宸annie,2437574350,0,0,3,Wed Nov 20 15:09:33 +0800 2024,2024/11/20,税收 高 制定 畜牲 会下 地狱
5101756872399519,本来痛经就难受 看到这更是气笑了 从长度到每年都会爆出的各种质量问题 女性安全和利益到底什么时候能真正得到保障？！溢价这么高的产品却也永远都是最背刺女性用户的存在，这合理吗 #卫生巾 C类# ,奈芙er,7868576207,43,64,1367,Sun Nov 17 17:51:27 +0800 2024,2024/11/17,本来 痛经 难受 更是 气笑 长度 爆出 质量 女性 利益 保障 溢价 高 产品 永远都是 最背 刺 女性 用户
5102800748941601,#卫生巾##卫生巾质量##卫生巾 c类# 现在哪个牌子能用 我请问呢？ ,臭屁小狗日记,7449371872,0,3,1,Wed Nov 20 14:59:27 +0800 2024,2024/11/20,质量 牌子 请问
5102798073236207,#卫生巾 C类#所以现在能用啥？？？ ,初二vvvviiii,6049801771,0,0,0,Wed Nov 20 14:48:49 +0800 2024,2024/11/20,能用
5102796581638313,#卫生巾 C类#所以应该买哪个牌子？ ,虾仁猪心yip,7488034723,1,0,0,Wed Nov 20 14:42:53 +0800 2024,2024/11/20,买 牌子
5102795310760956,#卫生巾 C类#看来要考虑买月经杯了 ,-啊啊啊啊珍-,7570078762,0,0,0,Wed Nov 20 14:37:50 +0800 2024,2024/11/20,买 月经 杯
5102794653303357,#卫生巾 C类#我真的想笑，女人想正常的活在这个世界上有这么难？ ,乔茸茸_,6262579318,0,0,8,Wed Nov 20 14:35:13 +0800 2024,2024/11/20,真的 想 笑 女人 想 活 世界 难
5102794350528121,#卫生巾 C类#能不能死一死啊，我真的服啦 ,Lidocaine_Alphard,7714562611,0,0,1,Wed Nov 20 14:34:01 +0800 2024,2024/11/20,类能 死 一死 真的 服啦
5102794338732426,#卫生巾 C类#太荒谬了…这种如此贴身的东西居然这个执行标准，这个世界癫了吗 ,鱼丸粗面只要鱼丸-,7247290793,0,0,2,Wed Nov 20 14:33:58 +0800 2024,2024/11/20,类太 荒谬 贴身 东西 执行 标准 世界 癫
5102793506951565,#卫生巾 C类#很无语 每次用都会捂疙瘩 甚至消不掉的那种 我一直以为是我的问题 而且这玩意又不便宜 就不能用点心吗 ,努力的女人最美腻,5063479651,0,0,3,Wed Nov 20 14:30:40 +0800 2024,2024/11/20,无语 每次 捂 疙瘩 消不掉 那种 玩意 便宜 点心
5102790292542171,#卫生巾 C类# 又要女的死 又要女的生 ,狗狗巴士Kitty,5655986043,0,1,2,Wed Nov 20 14:17:54 +0800 2024,2024/11/20,女 死 女 生
5102790189254775,孩子尿不湿A类，男士卫生巾A类，女士卫生巾C类？？？#卫生巾##卫生巾 c类# ,FanCy丶澪,3189937695,0,1,0,Wed Nov 20 14:17:29 +0800 2024,2024/11/20,孩子 尿不湿 A 男士 A 女士
5102790047434749,#卫生巾 C类#各行各业都想要我命就算用着痒，长痘，我也以为是我的皮肤敏感问题用不习惯 ,一只想上岸的crab,5849670206,0,2,4,Wed Nov 20 14:16:55 +0800 2024,2024/11/20,各行各业 想要 我命 痒 长痘 皮肤 敏感 习惯
5102788986537600,#卫生巾 C类##安全提醒# 对女生善良一点 ,A_阿瑟111,7509398110,0,0,0,Wed Nov 20 14:12:42 +0800 2024,2024/11/20,提醒 女生 善良 一点
5102787207367233,#卫生巾 C类#善待我的贝塔 ,快乐小蛆蛆,6084482143,1,0,5,Wed Nov 20 14:05:38 +0800 2024,2024/11/20,善待 贝塔
5102787151270187,#卫生巾 C类#所有中国的卫生巾都在背刺我！ ,互联网抽象油腻普信女,5775117267,0,1,0,Wed Nov 20 14:05:25 +0800 2024,2024/11/20,中国 背 刺
5102787075773627,#卫生巾##卫生巾 c类##abc卫生巾# ,喵喵杂食官,7950030525,0,1,2,Wed Nov 20 14:05:07 +0800 2024,2024/11/20,abc
5102785024492915,#卫生巾 C类# 尼玛 真不是我的错觉 每次经期过后总要不舒服几天 真难砂啊我们 ,青提不是水果,7166242991,0,0,3,Wed Nov 20 13:56:57 +0800 2024,2024/11/20,尼玛 真 错觉 每次 经期 过后 总要 舒服 几天 真难 砂
5102784662214103,#卫生巾 C类#又贵又毒的东西，到底什么是真的 ,清歌烈酒-,5580187003,0,0,4,Wed Nov 20 13:55:31 +0800 2024,2024/11/20,贵 毒 东西 真的
5102782872816786,#卫生巾 C类#真是有点幽默，一直在声讨，一直被忽视 ,四恩三有尽沾恩,7375507550,0,0,4,Wed Nov 20 13:48:25 +0800 2024,2024/11/20,幽默 声讨 被忽视
5102782572401322,#卫生巾 c类# 难怪每次姨妈走了那几天都发痒 而且！我上学那几年是没啥问题的 就是最近才发现有这种情况 我怀疑过是我自己的问题都没怀疑过卫生巾 而且每次用卫生巾一定侧漏，内裤衣服床上用品都得洗，感觉用了个寂寞。后来干脆用夜安裤了 到现在我才知道真相 ,喝汽水味奶茶,1849586763,0,2,8,Wed Nov 20 13:47:13 +0800 2024,2024/11/20,每次 姨妈 走 几天 发痒 上学 几年 没 发现 情况 怀疑 没 怀疑 每次 侧漏 内裤 衣服 床上用品 洗 感觉 寂寞 干脆 夜安裤 真相
5102781326689420,#卫生巾 C类#谁能告诉我 现在还能用哪个牌子的 ,梁哈哈想吃鲫鱼饼,6882906665,0,3,0,Wed Nov 20 13:42:16 +0800 2024,2024/11/20,告诉 牌子
5101784719163842,#卫生巾 C类#我看到有科普说，c类是不能直接接触皮肤。一般只有大衣是c类  那为什么不能直接接触皮肤的东西能接触隐私部位 ,清酌月下酒,6777372092,11,49,1317,Sun Nov 17 19:42:06 +0800 2024,2024/11/17,科普 说 接触 皮肤 大衣 接触 皮肤 东西 接触 隐私 部位
5102778877219392,#卫生巾偷工减料压缩的不是成本是口碑##卫生巾 C类#卫生巾新国标正在起草，大家可以去提建议。搜索“国家标准全文公开”网站，点进去先注册（不然一会儿注册完还得再搜一遍），然后搜索“8939-2018”，点“实施信息反馈”就可以写意见了。手机建议先在备忘录写好再粘过去，电脑随意。这是我的提交界面和我写的建议，小??还有很多建议，可以综合一下来写。希望大家都能用上更安全方便的卫生巾。,古希腊掌管QQ弹弹的小丸子,6384655390,0,1,2,Wed Nov 20 13:32:32 +0800 2024,2024/11/20,偷工减料 压缩 成本 口碑 新 国标 起草 提 建议 搜索 国家标准 全文 公开 网站 点 先 注册 一会儿 注册 完 搜 一遍 搜索 8939 2018 点 实施 信息反馈 写 意见 手机 建议 先 备忘录 写 粘 电脑 随意 提交 界面 写 建议 建议 综合 写 希望 更
5102776717412725,#卫生巾 C类#提高卫生巾安全标准，保障国人卫生安全。支持刚需国有化。卫生巾需要在提高标准的同时降低价格。 ,Fan小7,3684082305,0,0,0,Wed Nov 20 13:23:57 +0800 2024,2024/11/20,提高 标准 保障 国人 卫生 支持 刚需 国有化 提高 标准 降低 价格
5102775783132264,#卫生巾 C类#行 ,巍珂赵zkw,7725874977,0,0,0,Wed Nov 20 13:20:14 +0800 2024,2024/11/20,类行
5102773756759420,#卫生巾 C类#我会像阿中爱我一样爱国 ,周周杀人女魔头,5685884905,0,0,0,Wed Nov 20 13:12:11 +0800 2024,2024/11/20,我会 阿中 爱 爱国
5102773135216392,#卫生巾执行标准##卫生巾##卫生巾 c类# 既当裁判又当选手 ,磕焦糖奶油瓜子,6493859851,0,0,0,Wed Nov 20 13:09:43 +0800 2024,2024/11/20,执行 标准 裁判 选手
5102770963612388,血崩了 但是整个柜子里找不出来一个能用的卫生巾#卫生巾 c类# ,love06-,5256230026,0,0,2,Wed Nov 20 13:01:05 +0800 2024,2024/11/20,血崩 柜子 里 找 能用
5102765558731180,#卫生巾##卫生巾 c类##卫生巾长度造假##律师称虚假宣传卫生巾长度违法#行业标准一般都是行业龙头企业起草的，简称贼喊捉贼。工商局干什么吃的，连个标准也不审核吗？,闭心番薯,1977714724,0,0,0,Wed Nov 20 12:39:37 +0800 2024,2024/11/20,长度 造假 律师 称 虚假 宣传 长度 违法 行业标准 行业龙头 企业 起草 简称 贼喊捉贼 工商局 干什么 吃 标准 审核
5102763656086407,哈哈又要女人生又要女人死的 #卫生巾 c类# ,agudbwvshjklqnnhsh,6781948234,0,0,2,Wed Nov 20 12:32:03 +0800 2024,2024/11/20,女人 生 女人 死
5102762194895562,#卫生巾 C类#有病？ ,芊芊余年,7364030685,0,0,1,Wed Nov 20 12:26:14 +0800 2024,2024/11/20,类有 病
5102761970239361,#卫生巾 c类#标准居然是c类啊，一天天喊话催生孩子的人哪来的脸催的？直接接触阴道的东西的标准可是c类啊！！！ ,嘻嘻玩玩闹闹,7897277219,0,0,1,Wed Nov 20 12:25:21 +0800 2024,2024/11/20,标准 一天天 喊话 催生 孩子 哪来 脸 催 接触 阴道 东西 标准
5102756251568911,#卫生巾 C类#原来卫生巾一直是c类执行标准啊 好幽默 一边焦急生育率，一边又不怕女人用多了这种劣质东西导致生不了孩子了，好搞笑哦 ,鹤玉三郎,5666448981,0,1,5,Wed Nov 20 12:02:38 +0800 2024,2024/11/20,执行 标准 幽默 焦急 生育率 女人 劣质 东西 导致 生 孩子 搞笑
5102755454910815,#卫生巾 C类#……别太离谱烙铁 ,重生之在人间装大人,7805427306,0,0,2,Wed Nov 20 11:59:28 +0800 2024,2024/11/20,别太 离谱 烙铁
5101739622272938,#卫生巾 C类#一提起抽烟，就是烟草税如何如何，每一个抽烟的人都觉得自己做出了重要贡献。 卫生巾税收也不低，几乎每个女人都要用，保守估计要用三十年，我们也应该理直气壮的捍卫自己的权益！ ,碎碎九十三,2048978227,126,125,7418,Sun Nov 17 16:42:54 +0800 2024,2024/11/17,类一 提起 抽烟 烟草 税 抽烟 做出 贡献 税收 低 女人 保守 估计 三十年 理直气壮 捍卫 权益
5102754994849410,#卫生巾 C类#什么？必需品你搞这个？ ,公子慕萻,5285847980,0,0,0,Wed Nov 20 11:57:38 +0800 2024,2024/11/20,必需品 搞
5102752659147866,#卫生巾 c类#。顶热度，这是目前唯一可以做的事情 ,爱晒太阳的小慧,6995800208,0,0,0,Wed Nov 20 11:48:21 +0800 2024,2024/11/20,顶 热度 这是 唯一 做 事情
5102752521521150,#卫生巾 C类##卫生巾#你们这样会导致全国女性不孕不育的 ,-野火不熄-,2114266013,0,1,2,Wed Nov 20 11:47:48 +0800 2024,2024/11/20,导致 全国 女性 不孕 不育
5102719238934139,#abc卫生巾# 我能接受长度不够，但#卫生巾 c类# 是什么鬼啊！我??啊!天天三胎三胎的，女性基本保障都做不到，我真是想大骂啊 ,熊熊熊熊熊胖子,1905739075,0,4,147,Wed Nov 20 09:35:33 +0800 2024,2024/11/20,abc 我能 接受 长度 鬼 天天 三胎 三胎 女性 基本保障 做 不到 想大骂
5102751408723414,#卫生巾 c类# 所以现在到底还能买哪个牌子？真是醉了 ,肚子饿呀a,6031905069,0,0,1,Wed Nov 20 11:43:23 +0800 2024,2024/11/20,买 牌子 醉
5102750759914463,#卫生巾 C类# 有时候真的觉得很幽默。 怎么可以做到如此不尊重女性。 ,下路双子星是这样的,6257155533,0,0,2,Wed Nov 20 11:40:48 +0800 2024,2024/11/20,有时候 真的 幽默 尊重 女性
5102749685385384,#卫生巾 C类#nm 这个世界什么时候能对女生好点 ,小鱼好运连连财运滚滚,7869066626,0,2,1,Wed Nov 20 11:36:32 +0800 2024,2024/11/20,nm 世界 女生 好点
5102748020245203,#卫生巾##卫生巾 c类##abc卫生巾#  不是。。怎么还限流请看P9 ,OnePlus-已看过两场时代之旅,3971363732,76,10,177,Wed Nov 20 11:29:55 +0800 2024,2024/11/20,abc 限流 请 P9
5102386831428500,#卫生巾 C类#该说不说这几年用的一直是医用卫生巾  网友说的长火疖子还有痒的问题我都没有 也算是误打误撞买对了 ,我深爱的68号少年,3910809787,304,1348,19503,Tue Nov 19 11:34:41 +0800 2024,2024/11/19,类该 说 说 几年 医用 网友 说 长火 疖子 痒 算是 误打误撞 买
5102742606186625,#卫生巾 C类# 标准都是c类，难道指望商人按照a类生产吗？标准要修改！ ,徐gaga掉坑里了,2883991610,0,0,1,Wed Nov 20 11:08:24 +0800 2024,2024/11/20,标准 指望 商人 a 生产 标准 修改
5102740321867445,#卫生巾 C类#导致女性不孕#卫生巾 c类# 还我三胎 ,扶玉和洲,7710422590,0,0,1,Wed Nov 20 10:59:20 +0800 2024,2024/11/20,导致 女性 不孕 三胎
5102739287704563,#卫生巾 C类#先说下我用的品牌：一直都用的自由点，偶尔用过舒莱超薄的那款。舒莱超薄美其名曰0.135cm，其实还是很厚！每次过了两天到后面结束了都会痒！我以为是我卫生巾更换的问题。痘痘这些我是没长过的！但是长在脸上我都觉得不舒服很痛，我不敢想长在私密处皮肤敏感的地方会有多难受人类是在女性的胯下诞生的你们的良心到底在哪啊？？？？还一直怪生育率低，你们怎么对待女性的？？？我觉得不如世界毁灭更适合这个时代，反正女性从出生要经历性骚扰，上班要经历就业歧视，结婚要经历家暴，生小孩好像全是女性一个人的事，日子过成这样那干脆大家都不要活了最好,睡个好觉88-,7812941071,0,1,0,Wed Nov 20 10:55:13 +0800 2024,2024/11/20,类先 说 品牌 自由 点 用过 舒莱 超薄 那款 舒莱 超薄 美其名曰 135cm 厚 每次 两天 结束 痒 更换 痘痘 没长 长 脸上 舒服 很痛 想长 私密 处 皮肤 敏感 地方 难受 人类 女性 胯下 诞生 良心 怪 生育率 低 女性 世界 毁灭 更 适合 时代 反正 女性 出生 经历 性骚扰 上班 经历 就业 歧视 结婚 经历 家暴 生小孩 好像 全是 女性 事 日子 过成 干脆 活
5102735660158310,#卫生巾 C类#这孩子还是你们男的去生吧，这世界有没有女的都一样 ,千宝不熬夜,7725878775,0,0,8,Wed Nov 20 10:40:48 +0800 2024,2024/11/20,孩子 男 生 世界 有没有 女
5102730774056387,#卫生巾 c类#所以呢？这不只是商家的问题吧有关机构有没有考虑女性的安全问题？就因为我们有子宫有生育能力就应该承受这些？自己要买卫生巾不算，还要高价买，甚至高价还买不到好的，好好好??，这样是吧。那真的是要学一下勇敢的韩女了呢毕竟我们作为人，是占人口总数近一半的人，但却最基础的生理需求及安全都得不到保障。,比奇堡的尼采,7486840210,0,0,0,Wed Nov 20 10:21:23 +0800 2024,2024/11/20,商家 机构 有没有 女性 子宫 生育能力 承受 买 不算 高价 买 高价 买不到 好好 真的 要学 勇敢 韩女 占 人口总数 近一半 基础 生理需求 得不到 保障
5102724007331084,#卫生巾 C类#b就不是皮肤了吗 ,芭比babibo,7878138551,0,0,8,Wed Nov 20 09:54:30 +0800 2024,2024/11/20,b 皮肤
5102723135702180,#卫生巾 c类# 给爷s ,Nice2cu_2024,7809968122,0,0,0,Wed Nov 20 09:51:02 +0800 2024,2024/11/20,给爷 s
5102712977623291,#卫生巾 C类#没什么想说的 就是感觉很好笑 真的 ,wooonshi_33,7603470716,0,0,0,Wed Nov 20 09:10:40 +0800 2024,2024/11/20,没什么 想 说 感觉 好笑 真的
5102709117552184,#卫生巾# #卫生巾 c类# //@今儿个阳光明媚:#卫生巾# 国产卫生巾长度不达标，标准±4%，厂家全部-4% ，太让人心寒了。宽度也越做越窄，护翼这么多年也没有改进。背后的黏胶不知道含不含甲醛，里面的棉花克重也没介绍。女性的生活必需品竟然全是问题,安玉姐姐,1783389344,0,0,0,Wed Nov 20 08:55:20 +0800 2024,2024/11/20,国产 长度 达标 标准 厂家 太 心寒 宽度 越做越 窄 护翼 多年 改进 背后 黏胶 含不含 甲醛 棉花 克重 没 介绍 女性 生活必需品 全是
5102585578783207,#卫生巾##abc卫生巾##卫生巾 c类#  真是常看常新 ,小肥字说,3886634941,7,4,167,Wed Nov 20 00:44:26 +0800 2024,2024/11/20,abc 常看 常新
5102690712945655,#ABC卫生巾# #卫生巾# #卫生巾 c类# #卫生巾长度造假#,我在天庭卷门帘,5910816909,0,0,0,Wed Nov 20 07:42:12 +0800 2024,2024/11/20,ABC 长度 造假
5102688175655905,#卫生巾 C类#C你爹的… ,hHa-eey,5025207200,0,0,3,Wed Nov 20 07:32:07 +0800 2024,2024/11/20,爹
5102632991981885,#卫生巾 c类# 国内矮子里拔不出高个 ,压路机粉碎全世界,5886509942,0,0,0,Wed Nov 20 03:52:50 +0800 2024,2024/11/20,国内 矮子 里 拔不出 高
5102613303133225,#卫生巾 c类# 支持！！！,TravelerSusanna,2241454014,0,0,0,Wed Nov 20 02:34:36 +0800 2024,2024/11/20,支持
5102604678071536,#卫生巾 c类#真无语，还以为是我自己的问题 ,-落黄-,7364971654,0,0,2,Wed Nov 20 02:00:20 +0800 2024,2024/11/20,类真 无语
5102587233960266,#卫生巾 C类#？？？这应该吗 ,前进的马铃薯吉他手,5534855511,0,0,0,Wed Nov 20 00:51:00 +0800 2024,2024/11/20,
5102586141346717,#卫生巾 c类#气笑了 我买衣服一般都不买C类 ,一丢丢的橙子,5626345955,0,0,2,Wed Nov 20 00:46:40 +0800 2024,2024/11/20,类气 笑 买 衣服 买
5102582921955567,#卫生巾 C类#正在来大姨妈的我天塌了 下一秒我就要去公共场合到处蹭血去 甚至觉得要是女性能团结一起像男人一样没素质啥也不管到处蹭血这个社会就不敢这么压榨女性了 真别太恨女了 ,疯狂大sa豹,1801801141,0,0,2,Wed Nov 20 00:33:52 +0800 2024,2024/11/20,大姨妈 天塌 一秒 公共场合 蹭 血 女性 团结 男人 没 素质 蹭 血 社会 压榨 女性 真别 太恨 女
5101695808046295,#卫生巾 c类# 我买衣服都不买C类 ,momo粒_,7548920421,15,27,672,Sun Nov 17 13:48:48 +0800 2024,2024/11/17,买 衣服 买
5102561063338116,#卫生巾 C类#这个 你既然是c类 那我为啥不每个月去撕块布拿来垫着还要用你 难道不比你这卫生巾卖的便宜啊 ,Kookvov,2531493030,0,0,1,Tue Nov 19 23:07:00 +0800 2024,2024/11/19,为啥 月 撕块布 拿来 垫 卖 便宜
5101665093159644,#卫生巾 C类# 好好好，我还以为是我的问题，没想到卫生巾的用料是我全身上下最差的料子 ,辞念with,6337273840,49,176,5287,Sun Nov 17 11:46:45 +0800 2024,2024/11/17,好好 没想到 用料 全身上下 最差 料子
5101864310014565,#卫生巾 C类#？？？和窗帘桌布同一个标准？？？日常用品还是贴身用品，女性安全难道不是很重要吗？？？而且卖那么贵！！！那么贵！！！ ,小椰奶冻Oo,6112106422,0,6,186,Mon Nov 18 00:58:22 +0800 2024,2024/11/18,窗帘 桌布 同一个 标准 日常用品 贴身 用品 女性 卖 贵 贵
5101663863967769,#卫生巾 C类# 妈耶，以前都没注意，我买贴身T恤类都尽量不买C类，现在告诉我，卫生巾是C类，怪不得好多人用了不舒服。 cs滋滋的微博视频 ,CCS滋滋,6569466125,131,189,4431,Sun Nov 17 11:41:52 +0800 2024,2024/11/17,妈耶 没 买 贴身 T恤 不买 告诉 好多 人用 舒服 cs 滋滋 微博 视频
5102028872745486,从卫生巾事件延伸。 女性总是在有需要的时候不被重视，不必要的时候就首当其冲。 十个通缉令，九个男的一个女的，唯一一个女的就被拿出来当头图和标题，到底有何居心？@海南广播电视总台微博   #卫生巾 c类##专家称消费者对卫生巾ph值有误解##abc卫生巾##反电信诈骗# ,KISSNEONLAMP1999,1907561417,2,8,227,Mon Nov 18 11:52:17 +0800 2024,2024/11/18,事件 延伸 女性 重视 不必要 首当其冲 十个 通缉令 九个 男 女 唯一 女 图 标题 有何 居心 专家 称 消费者 ph 值有 误解 abc 反 电信 诈骗
