Rank,博主id,用户昵称,性别,粉丝数,关注数,是否大V,微博认证,个人简介,svip等级,score
108,2957820881,万像视频,m,1330.8万,667,False,,万像视频，包罗万象！服务社会读者，报道生活新鲜事儿，商务合作：SSbdyezi,7,15
109,6587717377,张佳ZHJ,m,944045,988,True,,游戏前路探索者！多坑游戏Gamer聚集地～,1,15
110,1700162184,李小萌,f,10983547,1287,True,媒体人,家庭教育 13911806665,0,14
111,7331622139,小怡说车,f,643958,461,True,,商务合作请私信,1,14
112,6163871963,少荣科技君,f,312704,1113,True,,这是一个有趣的博主 商务合作请联系 QQ：1040665874  VX：Summeryu26（备注来意谢谢）,1,13
113,7832563648,呱唧花花花,m,8.6万,45.0,True,电视剧博主,体坛爱好者，看心情说废话。 都是假的。 呱唧小花花也是我。,2,13
114,5985928016,在太空踢足球的国王,f,102,393.0,False,,我要我一点一点不见,7,13
115,7755867260,财唯唯,f,39874,2666,True,,人群:低头族、久坐、不爱运动。爱好:喜欢吃各种各样的美食，架不住美食的诱惑。 曾经:五瘦六胖，一年半从175✂️到95，维持四年。目标:只瘦小肚子,1,12
116,1887344341,观察者网,m,2007.4万,1318,True,观察者网(www.guancha.cn)官方微博,关注我们,3,12
117,2576278033,皮肤科杨希川教授,m,2007527,1625,True,,博士，主任医师，教授。93年从事皮肤科工作，擅长脱发、痤疮、皮炎湿疹、荨麻疹、色斑及疑难少见病。,1,12
118,7397646384,阿苯,f,1199393,574,True,,WeChat：Amyliu031 （小红书勿扰）,1,12
119,1912085927,samteen,f,35,115,False,,seventeen,0,12
120,6393166009,邓学平律师,m,78.1万,836,True,律师 法律博主,上海权典律师事务所主任,1,11
121,5862006754,内娱日记,m,132913,3766,True,游戏博主,别太把自己当回事 谁care你,0,11
122,6777372092,清酌月下酒,f,81071,602,True,,不熟别问稿价//朋友外不推画师//直fo不回//国家职业级画饼选手//木苏里，墙头激推//我讨厌立体gay//,1,11
123,3963985063,黎蒙lm,m,27.5万,2428,True,搞笑幽默博主 微博原创视频博主,能有有什么烦恼？可以私信给我,8,10
124,3551109611,旅行厨男,m,307.4万,776,True,微博旅游出行账号 旅游博主 微博原创视频博主,旅行撰稿人，环球摄影师，航拍玩家，户外骑行爱好者，汽车数码手机测评，收藏纪录片，旅游攻略分享！爱旅行的一只厨男。🛫🇨🇳🚵,3,9
125,7396956580,南有菩提,f,17.9万,592,True,读物博主,关注后立马取关、快转文章的一律拉黑🗄  老福特：南有菩提   不要私信求car❗ ❗ ❗/镇魂,2,9
126,5071206030,言者先声,m,31.7万,2334,True,中国网锦绣天府融媒体中心主编 校园博主 微博剪辑视频博主,言者先声，为美好生活发声。,1,9
127,2799368122,总裁视野,m,1568765,914,True,,“以微博之力，让世界更美” QQ：916658341,1,9
128,1853804880,优优的狮子妈咪,f,75.6万,4448,True,职场博主 微博原创视频博主,生活、职场、教育领域知识干货交流分享！声明：微博内容有原创有搬运，仅为分享，侵权请私信我删除。,2,9
129,2468645684,任任LIZ_,f,675,213,False,,一个充满负能量的人,6,9
130,2836574107,宅在家里织围脖,f,24,103.0,False,,生活！📱,0,8
131,7652377360,juice粥,f,98468,1913,True,,欢迎你来认识我。,1,8
132,1959185150,总裁精粹,m,166.3万,366,True,职场博主 超话主持人（总裁超话）,在这里寻找片刻的安静。   联系 QQ：916658341  声明:微博有原创有搬运，侵权请私信我删除。,2,8
133,6871070604,泡芙米_,m,309085,2198,True,,推广合作私信,1,8
134,5327205036,江南第一名姬,f,20.7万,71,True,情感博主,拉拉投稿🌈｜译制视频🍭｜玩具测评🤹🏻‍♀️｜日常分享🎪,1,8
135,7473692775,超酥脆的油条,f,98085,223,True,微博原创视频博主,（ｖ＾＿＾）～✄╰ひ╯,0,8
136,3886634941,小肥字说,f,135,460.0,False,,磕CP我是认真的！🌈,5,7
137,2776325291,好运小七,f,503476,1986,True,,知名情感博主,1,7
138,1750852843,PChome,m,126.4万,1018,True,PChome.net电脑之家官方账号,PChome.net电脑之家官方账号，每天为您带来最精彩的全行业资讯、消费类电子产品评测以及热点事件报道。,6,7
139,6619742346,谎兔粉弑,m,15251,1284,True,,京畿道小兔仙,1,7
140,7480824636,凰家实验室,f,1271120,460,True,凤凰网凰家实验室官方微博,用硬核态度，做有料评测。进粉丝群加：hjpc2020 合作邮箱：pcbyy@ifeng.com,7,7
141,1612642012,不见不贱666,m,92.4万,781,True,颜值博主 微博原创视频博主,是非只在时势，公道不在人心,2,7
142,2705169595,正能量彔,f,105.1万,363,True,教育博主,“以微博之力，让世界更美”。声明:微博有原创有搬运，侵权请私信我删除。,2,7
143,6078130335,郝美丽吔,f,89,259,False,,悟君子正道，守人间沧桑。,7,7
144,7166585564,生活每天都进步一点,f,1.6万,138.0,False,,美好生活，从小小的进步开始,6,7
145,1403078180,南风在北京,m,307240,2409,True,,中国男人，请更自信一点！,1,6
146,5508960754,糖醋小鱼干_neko,f,540797,111,True,,恶龙摇了摇尾巴,1,6
147,6293199312,精神病人电波站,f,590,1086,False,,醒来总比睡着好,0,6
148,7429584565,春日宴threeo3·,f,117618,3947,True,,因为你的出现 那场绵延千百年的雨 终于得以止息,1,6
149,7455677482,箴言_胡,f,8578,5426,True,美食博主,"💋～你陪我一程,我念你一生 ～ 💋 🌷《你若懂我，一切尽在不言中》🌷",6,6
150,6984788425,不要踏入此河,f,105,539,False,,拉黑伱是因为伱见。看不惯我，你去紫砂～镇魂,0,6
151,3759595033,米其林蛋饼,f,72,456,False,,关你屁事,0,6
152,3335273760,爱右爱,m,5.8万,7806,True,情感博主,你的灵魂伴侣。                                图片视频来源网络侵删。不谈政治/不论是非。,1,5
153,5975177916,代餐达人陆依萍,m,2.5万,467,True,娱乐博主,嗡嗡嗡嗡嗡嗡嗡嗡嗡嗡嗡嗡嗡嗡,2,5
154,1823630913,C科技,m,2843258,4121,True,,C科技：一只安静的科技狗。关注科技与数码资讯，投稿、爆料、合作，请私信。,1,5
155,5247461650,Winkyle,f,230,485,0,,戒断中,1,5
156,7478974298,羊了个卷-见过杨洋32次版,f,1.7万,612,True,娱乐博主,素质不详，稠人婉拒 请勿对号入座 公司今天倒闭了吗,2,5
157,1656737654,现代快报,m,1427.1万,1597,True,现代快报官方微博,现代快报官方微博。以“讲真话办实事树正气”为办报宗旨、以“新新闻新文化”为特色定位的新型主流媒体。新闻报料热线：025-96060。,1,5
158,5180971082,狒狒的烦恼之路,m,18.3万,503,True,微博原创视频博主,本微博所有资料都来源于网络，有侵权联系删除,6,5
159,5361563575,微博媒体,m,629.6万,3235,True,媒体微博合作官方账号,新浪微博媒体合作官方账号，本账号将作为微博与各媒体沟通，交流、合作的平台。媒体合作请 @媒体微博合作，或私信我们，谢谢！,1,4
160,5786911344,谢健豪178,m,5.7万,16,True,颜值博主 微博原创视频博主,人生没有那么多剧本开心一天是一天🤪 分享日常生活的每个瞬间🥳 感谢各位精神股东的支持，加油冲百万股东博主🙇‍♂️,1,4
161,1885286525,女神酱cc,f,65.9万,55,True,颜值博主 美女帅哥视频博主,❤转发推广，请私信❤,1,4
162,3304893401,春城老哥,m,393351,1196,True,,弘扬正能量，人还是要有梦想的，万一实现了呢？,1,4
163,5761711726,原来是妖怪呀,f,135,199,False,,梦不停,0,4
164,7033595759,孙旖Jojo医生,f,56万,243,True,上海市同仁医院妇产科主治医师 微博原创视频博主,💙妇产科主治医生、医学硕士 ✏️《Jojo医生陪你科学怀孕》 📮sysucceed@163.com  🐷🍐jojoyisheng1216 💙私❤️666领“远离炎症养护宝典”,1,4
165,7186013403,翦瞳秋,f,27.6万,162,True,娱乐博主,单口相声表演艺术家,2,4
166,7872698952,红番茄日记本,f,18463,162,True,,･. ✧⁎⭑꙳ εïз ⋆⁺₊🍅⋆ ☆｡. ​​​,1,4
167,1800397245,胡杨说,m,1286874,568,True,,我们的围观，或许可以解决很多问题,1,4
168,1652484947,新快报,f,2636万,546,True,广东新快报社官方微博,《新快报》于1998年3月30日创刊，世界日报发行量前100强。报料热线：020-87776333 传真：020-87133901 发行热线：020-87133914,2,4
169,7753225060,慢慢自愈我,f,147046,2085,True,,晚安 天天开心  ·͜·,1,4
170,5648790156,河南科技大学,m,23万,515,True,河南科技大学官方微博,河南科技大学官方微博，发布权威信息，展示校园生活，服务师生校友，敬请关注和支持！,1,4
171,2783053135,龙猫自在,m,168321,367,True,,什么都略懂一点，生活更多彩一些。,1,3
172,6282596127,九号秘事局,f,24.7万,79.0,True,星座命理博主,微信公众号：jiuhaomishiju 小助理号：jiuhaohuangli,8,3
173,6004281123,梨视频,m,2637.8万,3095,True,资讯短视频平台,［视频报料邮箱］：yishou@pearvideo.com；［自媒体入驻网址］：http://www.pearvideo.com/join,4,3
174,3934700325,弋起xiao熙熙,f,19690,3301,True,,人间于此，欢喜是你💕@罗云熙leo,1,3
175,5636136297,瘦不了的中医肥猫,f,84.4万,296,True,浦口白露中医门诊部中医科医师,安徽中医药大学教师，微博小号:中医周雯，被安徽中医药大学政治迫害开除党籍、构陷成刑事犯罪嫌疑人师风师德不合格降级调离教师岗吊销教师资格证！,2,3
176,5482286569,环际军事,m,90.2万,69,True,军事博主,军事博主,2,3
177,7362895675,·养乐多大人·,m,30123,482,True,超话粉丝大咖（王一博超话）,他强任他强，清风拂山岗。,0,3
178,2533837991,当然有戏__,m,305433,849,True,,人生就是一场戏，你在台上演戏，我在台下看戏。人生如戏，戏如人生，人生当然有戏！,1,3
179,6020338488,一个安静的水豚,f,26,308,False,,命运的看法，它更准确。,0,3
180,1080814012,托帕兹,f,343924,504,True,,一个私人号！私人号！私人号！ 发表的一切内容仅代表个人观点。Solo追星，不约人。,1,3
181,6026921854,萤火虫在线,m,205693,20000,True,,只言片语，总有一分是你喜欢的,1,3
182,1731176574,陈枝辉律师,m,238957,1952,True,,北京京都律所高级合伙人，网络发言仅代表个人观点,0,3
183,6155599607,醉仙美6,f,23.3万,51,True,超话主持人（醉仙美6超话）,欢迎投稿明星和网红,2,3
184,1721284411,蜂鸟摄影君,f,1018958,1010,True,,数码、摄影博主 商务合作：fnvxfnvx,1,3
185,7235315626,无敌暴走猪哥,f,28.2万,124,True,情感博主,欢迎来到我的暴走世界～ 想投稿的宝子们 直接投稿给我就行！部分投稿内容源于网络|（推g私/侵歉删！）,2,3
186,7524204707,小猫随身听-守护闪不亮版,m,2253,243,True,,想要征服的世界 始终都没有改变,1,3
187,1403915120,科罗廖夫,m,681.3万,2014,True,2024微博年度新知博主,著名的军事作家，联合多名军事作家打造的《科大读书会》深受军迷朋友们喜爱。欢迎关注微信公众号：keluoliaofucn 【科罗廖夫的军事客厅】,2,2
188,5584274691,岚一蔚,f,89.9万,217,True,科学科普博主,科普世界，人间清醒,1,2
189,5171986047,哎呦是我喽,f,277146,339,True,,好好生活 好好爱自己૮₍ ˃̶ ꇴ ˂̶ ₎ა,1,2
190,7652656485,鱼圈雪王,f,3.2万,956,True,娱乐博主 微博原创视频博主,乐子人颜狗,2,2
191,7942418420,流水水日记_,f,3361,132,False,,这里是流水水的护唇工具正经打卡点📍 工具测评💦｜科普介绍📔｜🔝请先看置顶 🈴️请私信,0,2
192,2437016970,我是山河君,m,51.2万,1120,True,辽宁雄志能源公司舆情顾问 互联网科技博主 视频博主 超话粉丝大咖（锦州身边事超话） 头条文章作者,锦州是一座被山、河缠绕的英雄之城！ @我是山河君，做自己心中的英雄！（部分图片或视频来源网络及网友投稿，如有侵权请私信联系删除）,1,2
193,1720962692,极目新闻,m,2291万,1872,True,楚天都市报极目新闻官方微博,全球眼，中国心，瞭望者，思想家,3,2
194,7803966179,不要有下雨天,f,0,35,False,,,1,2
195,3200825142,Sia_非甜味鱼子酱,m,1795,1039,True,,姐的微博姐做主，指手画脚爹入土。,1,2
196,5604447616,啊七四十九,f,1757,957,False,,上天恩泽 谨言慎行,0,2
197,5715111156,江苏大卫财经,m,1489,141,False,,这短短的一生，我们最终都会失去，你不如大胆一些做你想做的。,0,2
198,5944114131,酩酊沉酣,f,3.7万,225,1,超话主持人（魔道祖师超话） 微博原创视频博主,蓝忘机&amp;魏无羡,1,2
199,5739039565,养胖指南,f,2万,161,True,体育博主 超话创作官（樊星闪耀FZD超话）,人生是旷野，愿你高飞🦅,1,2
200,6504011400,心软耶,m,179472,1040,True,,普普通通的一位查性恋微博用户；微博平台非常好我会推荐给其他人使用,1,2
201,7631232687,今天我贼拉开心,f,1.8万,1577,True,超话粉丝钻咖（邓为超话） 微博剪辑视频博主,雨停雨落终有时,1,2
202,1907561417,KISSNEONLAMP1999,f,866,431.0,False,,人類的偏見限制了认知和眼界，思想成為了禁錮自我意識的枷鎖。,1,2
203,7475173387,好运壁纸头像,f,11.4万,4609,1,超话粉丝大咖（杨紫超话）,此号已换主人，花了5000块钱买的。如果原号主找回，我会立马报案，超过2000金额立案标准了。,0,2
204,5547393597,蕗過铥了奶瓶,f,2248,858,True,,abo🥰🥰陈星旭唯粉😘😘只互眼熟的宝子！,1,2
205,7752777629,阳红东,m,15.6万,1,True,投资内容创作者,私信要求加QQ，加微信群的是骗子，请勿上当,6,2
206,6582141277,柒月西溪,f,17.4万,795,True,超话创作官（韩剧超话） 微博原创视频博主,即使我们不能创造快乐，我们也应该去感受快乐,2,2
207,1771017150,数懒小姐姐,f,110万,3209,True,数码博主 微博原创视频博主 头条文章作者,摄影数码游戏爱好者，视频拍图评测，  自有工作室✺◟(∗❛ัᴗ❛ั∗)◞✺  我争取做个有趣的灵魂,2,2
208,1775194575,蘑哩蘑菇丶,f,350,547,False,,ヽ(ﾟ▽ﾟ)ノ哦，是咸鱼吐槽日记啊。,0,1
209,5324358789,一束飛走的氣球,f,486,62,True,超话主持人（张可颐超话）,张可颐最美 没有之一！,1,1
210,6088154831,今天也要努力不废哦,m,3,277.0,False,,无所谓，我会随时发疯,1,1
211,6266954016,仙与_99928,f,140,234.0,False,,无,0,1
212,6304612995,皓月朗朗千里同风,f,53,110,False,,,0,1
213,7488034723,虾仁猪心yip,f,4,235.0,False,,,0,1
