Rank,博主id,用户昵称,性别,粉丝数,关注数,是否大V,微博认证,个人简介,svip等级,score
138,3934700325,弋起xiao熙熙,f,19690,3301,True,,人间于此，欢喜是你💕@罗云熙leo,1,0.0011672272508782154
139,5388069019,爱健身的硬哥,m,152367,485,True,,爱健身，爱美食，爱旅行，爱交友。。专业健身教练，拿了几个健美冠军，有点小成绩！,1,0.0011659189777684907
140,5327205036,江南第一名姬,f,20.7万,71,True,情感博主,拉拉投稿🌈｜译制视频🍭｜玩具测评🤹🏻‍♀️｜日常分享🎪,1,0.0011497836614040593
141,2583001030,华俊竹de微博,m,73.6万,431,True,珠海横琴华俊竹传媒有限公司 CEO 娱乐博主 超话主持人（华俊竹de微博超话） 微博原创视频博主,全国知名自媒体人 王思聪好友 娱乐圈纪委,3,0.001136229995657942
142,3279710155,斯图卡98,m,5861538,1956,True,互联网科技博主 视频博主,社会，资讯，历史,0,0.0011181226502643888
143,5782572166,0o发福奥利奥0o,f,5380,385,True,娱乐博主,,1,0.001069107079581918
144,2275284204,少年伯爵,m,1074840,882,True,,In the noisy confusion of life keep peace with your soul.,1,0.0009583339836587614
145,1301904252,江苏新闻,m,511.1万,1535,True,江苏广电总台融媒体新闻中心,江苏广电总台融媒体新闻中心、江苏公共·新闻频道，旗下《江苏新时空》《新闻眼》《新闻360》《通天下》《评新而论》《早安江苏》《网罗天下》等栏目,1,0.0009278907907604351
146,6898259936,o白鱼入舟o,f,3.3万,926,True,超话粉丝钻咖（刘宇超话） 微博原创视频博主,( ´͈ ᵕ `͈ )◞♡注意注意！来自百变小甜C刘宇的美貌暴击！,2,0.0008554234890972816
147,6163871963,少荣科技君,f,312704,1113,True,,这是一个有趣的博主 商务合作请联系 QQ：1040665874  VX：Summeryu26（备注来意谢谢）,1,0.0008406800660051924
148,6249379680,礼哥,f,146.9万,751,True,游戏博主 微博原创视频博主,想知道游戏新资讯，跟着礼哥走,2,0.0008224184573320744
149,3511775724,礼哥说科技,m,10.6万,197,True,互联网科技博主,关注科技、互联网、数码、汽车行业,1,0.0008166097434409004
150,1886301177,躁动的锅碗瓢盆,m,2422,1871,True,二级企业人力资源管理师 美食博主,声明：微博部分原创内容来源于网络，如有违规侵权请联系删除。,1,0.0008109420177510569
151,1612642012,不见不贱666,m,92.4万,781,True,颜值博主 微博原创视频博主,是非只在时势，公道不在人心,2,0.0008105482382712027
152,6354372953,宁艺灼灼其华_,f,5747,1036,True,,是一个温良的人 宁艺卓/jisung/ wonyoung 安利/战斗/👄队友 现在🈷️人 ch等级或者有花钱记录的秒回关 以防万一🈷️到粉籍不清楚的人！！！,1,0.0007954521140412052
153,1149956613,张慧林,m,2604084,5647,True,,南京市纪委廉政观察员  江苏省科普志愿者  微博自媒体作者,1,0.0007902888128045881
154,2468645684,任任LIZ_,f,675,213,False,,一个充满负能量的人,6,0.0007631999216739057
155,6608193583,锌姚,f,740,349,False,,日常号，独立追星，有时候会突然想起来日常号也要养，不用太在意我的粉籍，生气了自担也骂，不行你也给我打点钱,0,0.0007525782547890954
156,1700162184,李小萌,f,10983547,1287,True,媒体人,家庭教育 13911806665,0,0.0007468906671414322
157,1912085927,samteen,f,35,115,False,,seventeen,0,0.0007263199527081148
158,2286092114,中国蓝新闻,m,741.9万,5946,True,浙江广电集团融媒体新闻中心中国蓝新闻官方微博,和你一起 与时代同频,3,0.0007214878238266625
159,6420530135,之情_,f,58,63,False,,,0,0.000718002595491947
160,6504011400,心软耶,m,179472,1040,True,,普普通通的一位查性恋微博用户；微博平台非常好我会推荐给其他人使用,1,0.0007179113157022271
161,1682207150,南方日报,m,1671.6万,259.0,True,南方日报官方微博,华南主流政经大报，秉承“高度决定影响力”的办报理念；旗下南方+客户端是广东传播主平台、湾区第一端。,2,0.000699047033554408
162,7800807818,电竞系学长,m,588785,11974,True,,合作或侵权请私信联系,1,0.000697349390545478
163,1837242684,金华小陈说事,m,278653,1194,True,,23C全网最接地气的酱油博主（金华）有好的故事！文明以及不文明现象可以分享（反馈）给我！,1,0.000693519993247961
164,1735937570,江南都市报,m,1127.9万,1004,True,江南都市报官方微博,关注都市，关心百姓 商务合作:15079182969,1,0.0006870227880722437
165,7158419171,恰逢拾伍_Violet,f,11268,422,True,,在浪费时间中找到乐趣就不算浪费时间,1,0.0006813553405823513
166,5261353236,白小告呢,f,86,179,False,,,0,0.0006576664067033475
167,3963985063,黎蒙lm,m,27.5万,2428,True,搞笑幽默博主 微博原创视频博主,能有有什么烦恼？可以私信给我,8,0.0006560429806525404
168,5644557960,亓祐-见过Eason版,f,188137,2105,True,,只想为好事泪流  🈴️➕Easonfnds071备注来意,1,0.0006560429806525404
169,7746919417,还是你会画大饼,f,13,37,False,,向钱看,0,0.0006560429806525404
170,7235315626,无敌暴走猪哥,f,28.2万,124,True,情感博主,欢迎来到我的暴走世界～ 想投稿的宝子们 直接投稿给我就行！部分投稿内容源于网络|（推g私/侵歉删！）,2,0.000631200059701353
171,1870299693,毛发浓密大赛冠军,f,142061,789,True,,话像头发一样多。,1,0.0006245339348560832
172,6020338488,一个安静的水豚,f,26,308,False,,命运的看法，它更准确。,0,0.0006150906257015412
173,3886634941,小肥字说,f,135,460.0,False,,磕CP我是认真的！🌈,5,0.0005995909377132152
174,3694320381,小猫旺财,f,194679,188,True,作家 代表作《我有无边美貌》 萌宠博主,生活在河南的台北小哥，河南还怪好嘞,0,0.000596054808103478
175,6984788425,不要踏入此河,f,105,539,False,,拉黑伱是因为伱见。看不惯我，你去紫砂～镇魂,0,0.0005930322652042502
176,5872517953,我猜你一定读了我的ID,f,54,141,False,,,0,0.0005885200959778587
177,3971363732,OnePlus-已看过两场时代之旅,f,1653,1339,True,,你怎么知道我要看两场时代之旅了呀？,0,0.0005838910141937422
178,6617415833,酸酸欧尼酱,f,395522,1411,True,,情感树洞。,1,0.0005829974543345145
179,6338866456,莎莎的藏金库,f,100776,74,True,,修命不如修心。 有需要咨询可私wx。,0,0.0005790424448195099
180,5604447616,啊七四十九,f,1757,957,False,,上天恩泽 谨言慎行,0,0.0005761173554367213
181,5180971082,狒狒的烦恼之路,m,18.3万,503,True,微博原创视频博主,本微博所有资料都来源于网络，有侵权联系删除,6,0.0005605219077751215
182,5509694182,股侠韬哥,m,155647,306,True,招商证券股份有限公司投资顾问 财经博主 头条文章作者,复利创造奇迹 · 樱桃总是由青到红，生活也总是由酸到甜，无论你现在处在哪个阶段，你只需要细细品味。,0,0.0005352217317156972
183,5291824241,橘子娱乐,f,9582039,1913,True,,传播娱乐正能量！（所有独家和现场拍摄内容禁止截掉水印)广告合作邮箱：ad@happyjuzi.com,1,0.0005305747606027416
184,5975177916,代餐达人陆依萍,m,2.5万,467,True,娱乐博主,嗡嗡嗡嗡嗡嗡嗡嗡嗡嗡嗡嗡嗡嗡,2,0.0005172257828699301
185,3485610240,瘦司七格格,f,990,245,False,,更好的成为自己。,1,0.0005167933441810714
186,7010131150,帝吧官微,f,158.3万,975,True,超话主持人（帝吧超话）,海外帝吧官方微博,2,0.0005101797207181036
187,5860113127,_奶思兔咪啾_,f,646,272,False,,开心的生活🥰,0,0.0005066391712987089
188,2776325291,好运小七,f,503476,1986,True,,知名情感博主,1,0.0005026555470590989
189,1853804880,优优的狮子妈咪,f,75.6万,4448,True,职场博主 微博原创视频博主,生活、职场、教育领域知识干货交流分享！声明：微博内容有原创有搬运，仅为分享，侵权请私信我删除。,2,0.0004985622929357152
190,5761711726,原来是妖怪呀,f,135,199,False,,梦不停,0,0.0004959670718876952
191,1905739075,熊熊熊熊熊胖子,f,423208,447,True,,看别人的剧情 过自己的生活,1,0.0004922247160348109
192,2576278033,皮肤科杨希川教授,m,2007527,1625,True,,博士，主任医师，教授。93年从事皮肤科工作，擅长脱发、痤疮、皮炎湿疹、荨麻疹、色斑及疑难少见病。,1,0.0004890618186603393
193,7323114188,顾思夏思盛夏,f,49,161,True,超话粉丝钻咖（博君一肖超话）,上学中…… 上线全靠随缘  住校生 成分复杂 博肖&gt;all,2,0.0004824157270194037
194,7753225060,慢慢自愈我,f,147046,2085,True,,晚安 天天开心  ·͜·,1,0.0004786964914278303
195,5739039565,养胖指南,f,2万,161,True,体育博主 超话创作官（樊星闪耀FZD超话）,人生是旷野，愿你高飞🦅,1,0.0004740366120617833
196,3665229601,企鹅妹妹22,f,43,122,False,,我喜欢她，她喜欢一米八。,0,0.00046135701945357603
